tabela_fonte,alimento_id,alimento,grupo,ivn,origem_animal,umidade_pct,energia_kcal,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_alimentar_g,calcio_mg,magnesio_mg,manganes_mg,fosforo_mg,ferro_mg,sodio_mg,potassio_mg,cobre_mg,zinco_mg,se,rae_mcg,tiamina_mg,riboflavina_mg,niacina_mg,ac_pantontenico,piridoxina_mg,folato_dfe,vit_b12,c_mg,colina_total,vit_k_filoquinona,vit_a_ui,betacaroteno,vit_e_alfatocoferol,vitamina_d,luteina_zeoxantina,ac_graxos_total_saturados,col_18_e_1_indifernciado,col_18_e_2_indiferenciado,col_18_e_3_indiferenciado,col_22_e_6_n3_dha,col_20_e_5_n3_epa,ac_graxos_totais_monoinsaturados,ac_graxos_totais_poliinsaturados,triptofano,treonina,isoleucina,leucina,lisina,metionina,cisteina,tirosina,fenilalanina,valina,histidina
TACO,86,"Batata, baroa, cozida",Amiláceo,True,,79.26066666666667,80.11976250000004,0.8520833333333333,0.1663333333333333,0.0,18.94758333333333,1.7579999999999998,11.85,7.576,0.218,29.475,0.4236666666666666,2.0980000000000003,258.32666666666665,0.147,0.3786666666666667,,,0.06,0.0,1.98,,0.0,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,87,"Batata, baroa, crua",Amiláceo,True,,73.69,100.98492318840582,1.047101449275362,0.17,0.0,23.98289855072464,2.063333333333333,17.12666666666667,11.993333333333334,0.0666666666666666,45.2,0.3033333333333333,0.0,505.1833333333333,0.0466666666666666,0.2033333333333333,,12.25,0.0466666666666666,0.0,0.0,,0.1233333333333333,,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,88,"Batata, doce, cozida",Amiláceo,True,,80.425,76.75961050343517,0.6416666666666667,0.0876666666666666,0.0,18.422333333333334,2.212,17.153000000000002,11.159666666666666,0.1393333333333333,15.394,0.1869999999999999,2.699,148.44,0.06,0.1233333333333333,,,0.0833333333333333,0.0,2.573333333333333,,0.05,,,23.786666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,89,"Batata, doce, crua",Amiláceo,True,,69.51333333333334,118.24137536231882,1.257246376811594,0.1333333333333333,0.0,28.19608695652174,2.573333333333333,21.11,16.893333333333334,0.1766666666666666,36.46,0.3866666666666667,8.773333333333333,340.2033333333333,0.11,0.2,,,0.0566666666666666,0.0,0.0,,0.1,,,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,90,"Batata, frita, tipo chips, industrializada",Amiláceo,,,2.6973333333333334,542.7346733841896,5.583333333333332,36.615,0.0,51.22233333333333,2.4556666666666667,11.597666666666669,24.23933333333333,0.2313333333333333,96.49833333333332,0.6956666666666665,607.3993333333333,1014.325,0.121,0.5876666666666667,,,0.1966666666666666,0.0,2.6133333333333337,,0.13,,,0.0,,,,,,,,12.9,11.83,3.85,0.09,,,11.9,4.0,,,,,,,,,,,
TACO,91,"Batata, inglesa, cozida",Amiláceo,True,,86.35966666666667,51.588476636270656,1.1645833333333333,0.0,0.0,11.94375,1.3433333333333335,3.52,5.425,0.0663333333333333,24.34233333333333,0.194,2.2936666666666667,161.33166666666668,0.0576666666666666,0.1876666666666666,,,0.05,0.0,0.0,,0.0833333333333333,,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,92,"Batata, inglesa, crua",Amiláceo,True,,82.87,64.3702260869565,1.7717391304347825,0.0,0.0,14.688260869565212,1.163333333333333,3.55,14.58,0.1,38.53666666666666,0.36,0.0,302.05333333333334,0.0933333333333333,0.24,,,0.1,0.0,0.0,,0.15,,,31.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,93,"Batata, inglesa, frita",Amiláceo,True,,44.121,267.15742250204084,4.966666666666667,13.108666666666666,0.0,35.64033333333333,8.059333333333333,6.2763333333333335,14.114333333333336,0.1476666666666666,69.66766666666666,0.4443333333333333,1.913,488.94166666666666,0.1033333333333333,0.376,,,0.1733333333333333,0.0,2.5066666666666664,,0.1033333333333333,,,16.343333333333334,,,,,,,,2.1,3.31,6.29,0.3,,,3.4,6.6,,,,,,,,,,,
TACO,94,"Batata, inglesa, sauté",Amiláceo,True,,83.091,67.88793615063032,1.2916666666666667,0.8963333333333333,0.0,14.093000000000004,1.377,4.181,6.456333333333333,0.0843333333333333,31.968,0.25,8.182,199.48166666666663,0.0506666666666666,0.2083333333333333,,,0.0666666666666666,0.0,1.3833333333333335,,0.0933333333333333,,,0.0,,,,,,,,0.3,0.2,0.33,0.03,,,0.2,0.4,,,,,,,,,,,
TACO,102,"Cará, cozido",Amiláceo,True,,78.88466666666666,77.58491333333336,1.5291666666666668,0.1123333333333333,0.0,18.8525,2.6346666666666665,5.168333333333334,14.838666666666668,0.0216666666666666,27.80133333333333,0.3083333333333333,1.0063333333333333,203.25233333333333,0.1126666666666666,0.2376666666666666,,,0.1166666666666666,0.0,0.0,,0.12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
TACO,103,"Cará, cru",Amiláceo,True,,73.69333333333333,95.6331347826087,2.282608695652174,0.1366666666666667,0.0,22.954057971014496,7.273333333333333,3.9113333333333338,11.466666666666669,0.01,34.72,0.2133333333333333,0.0,211.66566666666668,0.06,0.18,,,0.1133333333333333,0.0,0.0,,0.02,,,8.786666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
